"","cluster_id","cougar_id","Season","Year","form_date","inv_date","carcass_found","species","sex","age","marrow_color","marrow_texture","body_cond","deer","pig","forest_dist","grass_dist","shrub_dist","riparian_dist","NDVI"
"74","SF9_S22-C04","SF09","Summer",2022,2022-05-07,2022-05-12,"Y","deer","F","adult",0,1,1,3.73775601387024,0.452904731035233,3.43398714065552,5.39091157913208,4.82585620880127,0,0.590145289897919
"77","SM6_S22-C06","SM06","Summer",2022,2022-05-25,2022-05-27,"Y","deer","M","adult",2,2,4,2.70677375793457,0.546670436859131,3.43398714065552,7.13653516769409,0,6.74468088150024,0.602913081645966
"81","SM6_S22-C10","SM06","Summer",2022,2022-06-06,2022-06-08,"Y","deer","UNK","neonate",0,1,1,15.0630779266357,2.89174604415894,5.38143110275269,4.22071361541748,4.85420894622803,0,0.375989019870758
"82","SF9_S22-C13","SF09","Summer",2022,2022-06-07,2022-06-09,"Y","deer","UNK","neonate",0,1,1,8.14040470123291,2.2890408039093,3.43398714065552,3.77106761932373,0,6.3846755027771,0.3843814432621
"83","SM6_S22-C11","SM06","Summer",2022,2022-06-09,2022-06-12,"Y","deer","UNK","neonate",0,0,0,4.15086269378662,1.80787658691406,4.85420894622803,4.82585620880127,0,5.76802206039429,0.467954963445663
"84","SM6_S22-C13","SM06","Summer",2022,2022-06-15,2022-06-16,"Y","deer","UNK","neonate",0,0,0,3.54612421989441,0.703006148338318,3.43398714065552,5.48479700088501,0,4.90648937225342,0.594730257987976
"85","SF9_S22-C18","SF09","Summer",2022,2022-06-18,2022-06-20,"Y","deer","UNK","neonate",0,1,1,13.298002243042,2.67326188087463,3.43398714065552,3.43398714065552,4.56297588348389,0,0.416999846696854
"86","SF9_S22-C19","SF09","Summer",2022,2022-06-20,2022-06-21,"Y","deer","F","adult",0,1,1,13.1495313644409,3.1764190196991,6.24322891235352,4.22071361541748,0,3.77106761932373,0.369216352701187
"90","SF9_S22-C23","SF09","Summer",2022,2022-06-27,2022-07-01,"Y","deer","UNK","neonate",1,1,2,4.23893022537231,0.339351832866669,3.43398714065552,6.03493881225586,4.69287443161011,0,0.545386254787445
"91","SM6_S22-C21","SM06","Summer",2022,2022-07-13,2022-07-16,"Y","deer","F","adult",1,2,3,3.4884045124054,0.265022367238998,3.43398714065552,6.58752632141113,3.43398714065552,0,0.655349314212799
"95","SF9_W22-10-13","SF09","Winter",2022,2022-10-13,2022-11-06,"Y","deer","M","adult",1,2,3,6.43467283248901,0.620329797267914,0,4.22071361541748,3.43398714065552,3.77106761932373,0.52854710817337
"96","SF9_W22-10-21","SF09","Winter",2022,2022-10-21,2022-11-10,"Y","deer","UNK","adult",0,1,1,15.192645072937,6.78119993209839,5.36191177368164,3.43398714065552,3.43398714065552,0,0.364091366529465
"97","SM6_W22-10-23","SM06","Winter",2022,2022-10-23,2022-11-10,"Y","deer","UNK","adult",0,1,1,15.192645072937,6.78119993209839,5.36191177368164,3.43398714065552,3.43398714065552,0,0.364091366529465
